date,type,address,city,zip,price,beds,baths,neighborhood 9,sqft,lotsize,year,hoa,url,mls,latitude,longitude
August-26-2022,townhouse,45 Market St #1,Cambridge,2139,1361000,3,2,Area 4-The Port,1691,,2000,319,https://www.redfin.com/MA/Cambridge/45-Market-St-02139/unit-1/home/11599442,73017668,42.3688375,-71.0964079
August-22-2022,townhouse,7 Durham St #2,Somerville,2143,1405000,3,3.5,Somerville,2102,,2015,185,https://www.redfin.com/MA/Somerville/7-Durham-St-02143/unit-2/home/105492316,73002293,42.3793482,-71.1060213
August-19-2022,townhouse,328 Harvard St #4,Cambridge,2139,2300000,4,3,Harvard Square,1806,,1980,650,https://www.redfin.com/MA/Cambridge/328-Harvard-St-02139/unit-4/home/11565309,72978699,42.3702234,-71.1079913
August-18-2022,townhouse,15 Valentine St #7,Cambridge,2139,1735000,3,2.5,Cambridge,1965,,2004,447,https://www.redfin.com/MA/Cambridge/15-Valentine-St-02139/unit-7/home/11603028,73000970,42.3605313,-71.1058688
August-11-2022,townhouse,100 Otis St #2,Cambridge,2141,1285000,3,2,Cambridge,1424,,1849,200,https://www.redfin.com/MA/Cambridge/100-Otis-St-02141/unit-2/home/11549225,72994344,42.3704989,-71.0826249
August-10-2022,townhouse,4 King Pl #3,Cambridge,2139,510000,2,1,Inman Square,579,,1886,200,https://www.redfin.com/MA/Cambridge/4-King-Pl-02139/unit-3/home/11562797,72999302,42.370833,-71.101602
August-10-2022,townhouse,323 Elm St #3,Cambridge,2139,1176000,3,3,Inman Square,1433,6705,2005,390,https://www.redfin.com/MA/Cambridge/323-Elm-St-02139/unit-3/home/19003349,72998805,42.374052,-71.095182
August-10-2022,townhouse,165 Auburn St #165,Cambridge,2139,2125000,3,3,Cambridgeport,2477,,2015,558,https://www.redfin.com/MA/Cambridge/165-Auburn-St-02139/unit-165/home/179811253,72994583,42.3637588,-71.1048686
August-3-2022,townhouse,266 Pearl St Unit G,Cambridge,2139,1325000,3,2.5,Cambridgeport,1774,,1980,246,https://www.redfin.com/MA/Cambridge/266-Pearl-St-02139/unit-G/home/11559860,72996917,42.3579805,-71.1096975
July-14-2022,townhouse,182 Elm St #2,Cambridge,2139,1012000,2,1.5,Inman Square,1344,,2004,,https://www.redfin.com/MA/Cambridge/182-Elm-St-02139/unit-2/home/11604469,72994618,42.3711411,-71.0961376
July-7-2022,townhouse,9 Fairmont Ave #9,Cambridge,2139,1898000,3,2,Cambridge,2075,,1879,209,https://www.redfin.com/MA/Cambridge/9-Fairmont-Ave-02139/home/28945948,72976757,42.3622218,-71.1122392
June-30-2022,townhouse,17 Roberts Rd Unit A,Cambridge,2138,2215000,4,3,Mid Cambridge,1757,,1900,350,https://www.redfin.com/MA/Cambridge/17-Roberts-Rd-02138/unit-A/home/11572018,72980267,42.3760188,-71.1091315
June-29-2022,townhouse,8 Lopez St #8,Cambridge,2139,1630000,3,2.5,Cambridgeport,1684,,1880,210,https://www.redfin.com/MA/Cambridge/8-Lopez-St-02139/unit-8/home/179389085,72990099,42.36119,-71.1044429
June-24-2022,townhouse,7 Joseph Unit 7R,Somerville,2143,815000,2,1.5,Somerville,952,,1900,170,https://www.redfin.com/MA/Somerville/7-Joseph-St-02143/unit-7R/home/12403811,72983651,42.3775186,-71.0972474
June-22-2022,townhouse,145 Hamilton St #2,Cambridge,2139,1850000,4,3.5,Cambridgeport,2178,9999,2022,228,https://www.redfin.com/MA/Cambridge/145-Hamilton-St-02139/unit-2/home/179102840,72968174,42.3592551,-71.1074616
June-22-2022,townhouse,328 Harvard #3,Cambridge,2139,2110000,4,3,Cambridge,1801,,1980,650,https://www.redfin.com/MA/Cambridge/328-Harvard-St-02139/unit-3/home/11565306,72990852,42.3702234,-71.1079913
June-17-2022,townhouse,1 Broadway Ct #1,Cambridge,2138,1825000,3,2,Mid Cambridge,1542,,1987,300,https://www.redfin.com/MA/Cambridge/1-Broadway-Ct-02138/unit-1/home/179387023,72979643,42.373094,-71.111571
June-15-2022,townhouse,518-520 Putnam Ave Unit B,Cambridge,2139,590000,2,1,Cambridgeport,1007,,1888,320,https://www.redfin.com/MA/Cambridge/518-520-Putnam-Ave-02139/unit-B/home/175549728,72960104,42.3584249,-71.1085834
June-15-2022,townhouse,8 Oak St #8,Cambridge,2139,1050000,2,1,Inman Square,1170,,1900,200,https://www.redfin.com/MA/Cambridge/8-Oak-St-02139/unit-8/home/178973319,72964030,42.3737044,-71.0994197
June-10-2022,townhouse,39 Dana St #5,Cambridge,2138,1555000,3,2,Mid Cambridge,1325,,1986,343,https://www.redfin.com/MA/Cambridge/39-Dana-St-02138/unit-5/home/11571078,72975664,42.3718409,-71.1092244
June-7-2022,townhouse,88 Pearl St #1,Cambridge,2139,1552000,3,2.5,Cambridgeport,1208,,1820,210,https://www.redfin.com/MA/Cambridge/88-Pearl-St-02139/unit-1/home/39903162,72971033,42.362641,-71.1046264
May-31-2022,townhouse,386 Washington St Unit 1A,Somerville,2143,750000,2,2,Somerville,1260,,2005,310,https://www.redfin.com/MA/Somerville/386-Washington-St-02143/unit-1A/home/8758110,72968060,42.3784394,-71.1050324
May-31-2022,townhouse,155 Brookline St #12,Cambridge,2139,1910000,2,2.5,Cambridgeport,1987,,1900,609,https://www.redfin.com/MA/Cambridge/155-Brookline-St-02139/unit-12/home/11377136,72950761,42.3603819,-71.1052553
May-31-2022,townhouse,143 Hamilton St #1,Cambridge,2139,1835000,4,3.5,Cambridgeport,2172,9999,2022,228,https://www.redfin.com/MA/Cambridge/143-Hamilton-St-02139/unit-1/home/12427875,72955802,42.3592631,-71.1075547
May-27-2022,townhouse,17 Lee St Unit T5,Cambridge,2139,1450000,3,2,Mid Cambridge,1205,,1982,360,https://www.redfin.com/MA/Cambridge/17-Lee-St-02139/unit-T5/home/101834960,72973415,42.3686157,-71.1071226
May-26-2022,townhouse,94 Hampshire St Unit B,Cambridge,2139,1050000,2,2.5,Area 4-The Port,1500,,1920,590,https://www.redfin.com/MA/Cambridge/94-Hampshire-St-02139/unit-B/home/113431231,72964396,42.3688045,-71.0951119
May-23-2022,townhouse,12 Marney St #12,Cambridge,2141,905000,2,2,Wellington-Harrington,1267,,1910,260,https://www.redfin.com/MA/Cambridge/12-Marney-St-02141/unit-12/home/178958955,72962227,42.3703449,-71.0898337
May-23-2022,townhouse,39 Webster Ave #0,Cambridge,2141,2250000,5,3,Cambridge,2342,,2022,999999,https://www.redfin.com/MA/Cambridge/39-Webster-Ave-02141/unit-0/home/178747068,72956856,42.3677103,-71.0924731
May-19-2022,townhouse,118 Trowbridge St #5,Cambridge,2138,1395000,3,2.5,Mid Cambridge,1824,,1916,541,https://www.redfin.com/MA/Cambridge/118-Trowbridge-St-02138/unit-5/home/11572351,72955311,42.3770816,-71.1092708
May-16-2022,townhouse,149 Bishop Allen Dr Unit C,Cambridge,2139,1123000,2,1.5,Central Square,1115,,1854,307,https://www.redfin.com/MA/Cambridge/149-Bishop-Allen-Dr-02139/unit-C/home/11562087,72963421,42.367357,-71.1045549
May-12-2022,townhouse,45 Webster Ave #0,Cambridge,2141,1995000,4,2,Cambridge,2063,,2022,999999,https://www.redfin.com/MA/Cambridge/45-Webster-Ave-02141/home/11377229,72959089,42.3678723,-71.092426
May-12-2022,townhouse,178 Franklin St #178,Cambridge,2139,2050000,3,3.5,Cambridgeport,1958,,2012,250,https://www.redfin.com/MA/Cambridge/178-Franklin-St-02139/unit-178/home/40504008,72959388,42.3630719,-71.1029837
May-11-2022,townhouse,41 Oak St Unit B,Somerville,2143,1310000,3,2.5,Inman Square,1503,,1900,400,https://www.redfin.com/MA/Somerville/41-Oak-St-02143/unit-B/home/8758314,72959361,42.376079,-71.09881
April-29-2022,townhouse,57 Kelly Rd #0,Cambridge,2139,1390000,2,3.5,Cambridgeport,1878,,1900,247,https://www.redfin.com/MA/Cambridge/57-Kelly-Rd-02139/unit-0/home/179768933,72947760,42.3631344,-71.110178
April-29-2022,townhouse,100 Concord Ave #100,Somerville,2143,755000,2,1,Somerville,863,,1900,141,https://www.redfin.com/MA/Somerville/100-Concord-Ave-02143/unit-100/home/137016149,72956910,42.3754292,-71.1017352
April-29-2022,townhouse,43 Webster Ave #0,Cambridge,2141,1810000,4,3.5,Cambridge,2076,,2021,999999,https://www.redfin.com/MA/Cambridge/43-Webster-Ave-02141/unit-0/home/176683429,72906093,42.3677063,-71.0926516
April-26-2022,townhouse,15 Rose St #15,Somerville,2143,1455000,4,2,Union Square,2135,,1920,250,https://www.redfin.com/MA/Somerville/15-Rose-St-02143/unit-15/home/178451181,72946951,42.3786209,-71.1030178
April-25-2022,townhouse,14 Valentine St #1,Cambridge,2139,1700000,3,3,Cambridge,2024,,1916,235,https://www.redfin.com/MA/Cambridge/14-Valentine-St-02139/unit-1/home/178590794,72951195,42.3601102,-71.1058936
April-22-2022,townhouse,41 Webster Ave #0,Cambridge,2141,1800000,4,3.5,Cambridge,1897,,2021,999999,https://www.redfin.com/MA/Cambridge/41-Webster-Ave-02141/unit-0/home/176729273,72908643,42.3677063,-71.0926516
April-14-2022,townhouse,245 River St #3,Cambridge,2139,1565000,3,2,Cambridgeport,1460,,1999,452,https://www.redfin.com/MA/Cambridge/245-River-St-02139/unit-3/home/11600196,72950958,42.3631183,-71.1120561
